No,분류,2010년,2010년,2010년,2011년,2011년,2011년,2012년,2012년,2012년,2013년,2013년,2013년,2014년,2014년,2014년,2015년,2015년,2015년,2016년,2016년,2016년,2017년,2017년,2017년,2018년,2018년,2018년
No,분류,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률,제품생산량,재활용가능자원사용량,재활용가능자원이용률
No,분류,톤/년,톤/년,％,톤/년,톤/년,％,톤/년,톤/년,％,톤/년,톤/년,％,톤/년,톤/년,％,톤/년,톤/년,％,톤/년,톤/년,％,톤/년,톤/년,％,톤/년,톤/년,％
No,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,종이제조업체,11472948.00 ,8857322.00 ,77.20 ,11525701.00 ,8826637.00 ,76.60 ,11654391.00 ,8044016.00 ,69.00 ,12160749.00 ,8646300.00 ,71.10 ,12049838.00 ,8722766.00 ,72.40 ,11968778.00 ,8713500.00 ,72.80 ,12031474.00 ,8925969.00 ,74.20 ,12041490.00 ,9464619.00 ,78.60 ,11997031.00 ,8550951.00 ,71.30 
2,유리용기제조업체,659784.00 ,495146.00 ,75.00 ,715751.00 ,534587.00 ,74.70 ,702656.00 ,529271.00 ,75.30 ,649640.00 ,491412.00 ,75.60 ,660296.00 ,511387.00 ,77.40 ,665124.00 ,514457.00 ,77.30 ,630785.00 ,482732.00 ,76.50 ,661682.00 ,601221.00 ,90.90 ,638584.00 ,508449.00 ,79.60 
3,제철 및 제강업체,55906000.00 ,16134000.00 ,28.90 ,68519000.00 ,18324000.00 ,26.70 ,84259000.00 ,26672000.00 ,31.70 ,66061000.00 ,25862000.00 ,39.20 ,71542000.00 ,25688000.00 ,35.90 ,69670000.00 ,23358000.00 ,33.50 ,68575000.00 ,21603000.00 ,31.50 ,71030000.00 ,24206000.00 ,34.10 ,75211000.00 ,23841000.00 ,31.70 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
