No,분류,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2015년,2015년,2015년,2015년,2015년,2015년,2015년,2015년,2016년,2016년,2016년,2016년,2016년,2016년,2016년,2016년,2017년,2017년,2017년,2017년,2017년,2017년,2017년,2017년,2018년,2018년,2018년,2018년,2018년,2018년,2018년,2018년
No,분류,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량,발생내역,발생내역,처리내역,처리내역,처리내역,처리내역,처리내역,최종보관량
No,분류,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량,전년도 이월량,해당년도 발생량,매립,소각,재활용,해양배출,기타,최종보관량
No,분류,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년,톤/년
No,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
6,소각재,"2,208.3","62,717.7",0,"61,069.7","1,020.4",,2.5,"2,833.4","2,066.5","145,898.9",0,"133,390.8","11,754.3",,"1,246.4","1,573.9","1,933.4","201,873.3",0,"188,887.4","7,094.8",,"1,475.9","6,348.6","2,476.3","228,313.4",0,"221,641.1","6,074.7",,"1,062","2,011.9","1,905.1","237,892.3",0,"228,761.9","7,810.2",,937.3,"2,288","2,437.6","270,513.5",0,"259,302.7","9,176.7",,"2,360.4","2,111.3","3,856.6","282,231.9",0,"268,098.2","6,079.7",,"2,519.9","9,390.7","2,913.3","314,175.2",0,"305,774.4","5,895.3",,"2,545.5","2,873.3","3,358.9","376,010",0,"363,675","12,095.5",,60.1,"3,538.4"
7,안정화또는고형화처리물,461.2,"51,542.6",0,"37,930.3","14,063.5",,0,10,328,"47,415.8",0,"19,202.7","27,891.5",,318,331.6,13.6,"54,297.4",0,"18,346.7","34,707.5",,0,"1,256.8",875.6,"49,426",0,"11,174.5","37,041.5",,"1,634.5",451.1,451.1,"8,197.5",0,"6,724.7",14.5,,"1,376.6",532.8,523.3,"6,593.9",0,"6,177.5",0,,0,939.7,939.5,"12,182.7",0,"11,157.6",0,,0,"1,964.6","1,959.7","16,805.9",0,"12,958.6",0,,0,"5,807","5,807","15,834.2",0,"15,832.3",0,,0,"5,809"
8,폐내화물및도자기조각,0,251.5,0,251.5,0,,0,0,193,"1,289.1",0,"1,100.7",0,,0.4,381,0,545.6,0,545.6,0,,0,0,0,329.7,0,329.7,0,,0,0,0,771.6,0,703.5,0,,68.1,0,0,"1,416.1",0,"1,387.8",0,,0,28.3,28.3,"1,590.2",0,"1,590.2",0,,0,28.3,28.3,"1,008.4",0,"1,008.4",0,,0,28.3,0,"1,372.8",0,"1,370",0,,0,2.8
9,폐농약,0,"2,006.8","1,966.7",0,40.1,,0,0,0,"1,588.6","1,549.8",0,36.4,,0,2.4,2.4,"1,575.2","1,544.9",0,31.2,,0,1.5,1.5,"1,501.7","1,413",0,33.3,,0,56.9,1.5,"2,061.8","1,707.9",0,355.4,,0,0,4.4,"2,489.5","1,570.7",0,813.3,,43.5,66.4,0.2,"2,197.7","1,475.9",0,0,,721.8,0.2,0.3,"2,189.2","1,897.3",0,0,,257.3,34.9,31.3,"2,319.6","2,192",0,0,,143.5,15.4
10,폐산,"3,303.2","562,111.9",873.4,130.8,"507,965.6",,"51,122.4","5,322.9","2,458.6","567,524.5",643.5,197.3,"488,578.9",,"67,970.1","12,593.3","3,752","666,350.8",694.5,261.6,"559,397.9",,"97,082.2","12,666.6","3,492.1","695,874.2",625.1,6.2,"601,471.1",,"94,397.1","2,866.8","2,662","754,190.7",652.2,519.1,"645,209.6",,"103,465.6","7,006.3","16,131.9","765,784.6",763.6,102.1,"654,722.5",,"108,877.6","17,450.7","15,471.4","794,524.8",923.9,516.1,"661,710.9",,"122,410.2","24,435","17,026.9","874,383.9","1,441.8",270.3,"727,509.4",,"144,305.7","17,883.6","2,133.9","998,032.8",845.4,216.6,"844,856.7",,"151,068.5","3,179.4"
11,폐석면,104.4,"140,431",0,"114,954.1",0,,"5,545.1","20,036.2",337,"94,303.7",0,"86,500.1",0,,"6,475.4","1,665.2",224.9,"350,477.4",0,"329,851.4",0,,"8,351.8","12,499.1","11,415","150,842.7",0,"144,627.4",0,,"5,350.2","12,280.1",52.2,"163,178.5",0,"154,047.8",0,,"5,123.8","4,059.1",94.4,"173,703.3",0,"167,670.6",0,,"5,051.1","1,076",158.4,"177,045.3",0,"167,464.6",0,,"8,539.8","1,199.2",505.6,"186,181.2",0,"170,561.6",0,,"11,414.4","4,710.9",682.5,"180,013.1",0,"168,242.4",0,,"10,342.4","2,110.8"
12,폐수처리오니,"1,990.7","150,992.9","1,819.1","122,097","18,069.8",,"7,070.6","3,927.1","1,484.2","170,790.7","2,438.4","123,244.5","29,526.9",,"11,803.9","5,261.2","1,128.2","207,209.9","2,756.3","141,568.2","24,322.3",,"32,939.2","6,752.1","1,408.7","235,587.2","6,409.3","183,617.5","33,422.8",,"12,049.8","1,496.5","1,433.7","308,288.7","4,031.2","216,769.9","31,125.6",,"53,849.8","3,945.9","1,361.5","276,341.4","1,500.3","235,447.7","29,889.1",,"8,922.5","1,943.3","1,592.1","295,937.5","2,588.3","255,174.9","29,620.3",,"6,333","3,813.1","2,115.6","278,645","2,832.8","240,391.9","31,115.5",,"4,208.3","2,212","1,852.2","253,398.6","3,518.2","215,050","32,667.2",,"2,457.9","1,557.5"
13,폐알칼리,356.3,"52,242.5","2,747.1",570,"23,012.6",,"25,317.2",951.9,276.6,"59,623.4","4,890",360.8,"30,272.5",,"23,149.3","1,227.4",755.2,"68,195.6","7,510.6",300.8,"31,119.6",,"28,926","1,093.8",457.8,"63,916.2","2,674.4",389.5,"28,888.3",,"30,538","1,883.8",249.5,"60,475.3",274.9,433.8,"28,692",,"31,009.8",314.3,331.8,"67,590.3",293.9,349.6,"33,787.5",,"33,235.5",255.6,219.7,"71,183","3,810.2",235.5,"31,267.2",,"32,318.1","3,771.8",206.8,"115,478.1","3,594.3",446.7,"34,017.5",,"77,456.3",170.1,85.6,"90,947.4","2,173.9",217.4,"33,616.2",,"54,781.3",244.2
14,폐유,"44,228.5","633,315.3","226,569.5",446.3,"384,923.9",,"8,772.3","56,831.8","47,742.2","798,167.4","262,272.5",531.4,"514,764.2",,"14,334","54,007.5","180,507.1","895,992.2","291,083.5",456.7,"577,723",,"18,464.5","188,771.6","42,058.4","890,244.2","277,294.6",402.4,"585,779.7",,"16,188.4","52,637.5","47,691.2","933,389.5","272,544.6","2,283.4","591,667.7",,"22,224","92,361.1","46,492.7","1,012,308.3","293,810.4","7,004.6","660,697.7",,"18,844.2","78,444","23,495.1","1,027,234.9","306,502.6","3,858.9","691,863.9",,"27,414.2","21,090.3","15,068.5","1,071,681.2","298,131","4,062.9","723,588.4",,"11,394.2","49,573.3","9,869.4","1,132,516.3","276,646.2","18,924.5","818,179.8",,"11,307.2","17,328"
15,폐유독물,12.9,"11,775.4","10,761.4",0,812.5,,2.2,212.2,213,"12,860.5","11,282.8",0,"1,571.7",,0,219,218.4,"15,792.4","9,955.2",0,"5,819.3",,9,227.3,225.7,"18,082.7","13,770.4",0,"4,290.1",,31.9,216,34.2,"16,293.3","13,616",0,"2,342.1",,306.4,63,39.7,"22,837.4","16,067.8",0,"5,954.1",,786.7,68.5,65.5,"26,720.8","15,780.9",0,"10,386.5",,590.2,28.8,27.6,"29,508.2","16,549.7",0,"12,286.2",,654.2,45.7,24.6,"33,354.7","17,919.1",0,"14,907",,524.3,28.9
16,폐주물사및폐사,24.5,"7,796.1",0,"3,197.3","3,925.7",,481.1,216.5,77.4,"8,542.1",0,"4,135.9","3,567.2",,857.5,58.9,0,"8,061.5",0,"4,397.6","3,446.2",,28.2,189.5,7.4,"9,032.6",0,"7,582.4","1,434.2",,0,23.4,23.4,"7,528.9",0,"2,015.8","2,474.4",,"3,039.1",23,0,"4,125.4",0,"1,266.5",198.2,,"2,660.7",0,0,"5,168.8",0,"4,758.5",0,,93.4,316.8,0,"1,850",0,"1,367.8",481.9,,0,0.4,0,636.9,0,486.1,150.8,,0,0
17,폐촉매,"1,177.8","16,812.2",0.5,530.4,"8,112.4",,"9,345.7",1,0,"22,729.3",0.7,521.8,"13,522.8",,"8,684",0,0.8,"24,610.4",0.8,407.9,"15,564.8",,"8,636.9",0.8,1,"25,328.7",2.2,"1,051.1","15,537.7",,"8,737.7",1,2,"25,607",1.8,854.8,"16,819.4",,"7,930.8",2.2,1,"19,908.3",3.7,"1,013.7","18,468.6",,137.9,285.4,1.6,"19,924.8",9,"2,007","17,909.9",,0,0.5,0.5,"18,838.6",4.9,"2,569.8","15,879.9",,0,384.4,28.5,"18,975",0,"3,541.3","15,412.7",,0,49.4
18,폐페인트및폐락카,"4,804.5","156,959.8","81,097.2",0,"51,470.7",,"2,911.1","26,285.3","3,597.5","141,257.7","87,880.1",0,"49,132.7",,"3,628.7","4,213.7","19,803.6","145,665.5","90,569",0,"48,420.7",,"5,587.9","20,891.5",915.3,"145,195.4","92,204.5",0,"46,845.5",,"5,808.5","1,252.2","8,357.1","169,342","96,833",0,"51,380.6",,"6,612.5","22,873","1,322.5","170,990.6","90,845.8",0,"59,618.6",,"6,508.2","15,340.5","1,618.2","157,189.9","87,075.3",0,"63,608.1",,"5,998.9","2,125.8","1,489.5","145,422.8","85,163.8",0,"57,983.5",,"1,942.5","1,822.6","1,120.6","138,449.1","76,273.5",0,"58,210.1",,923,"4,163.1"
19,폐합성고무,0,292.4,217.5,0,71.1,,1.6,2.2,2.2,444,210.1,0,234.4,,0.9,0.8,148.8,"2,326.5",110.1,0,"2,014.6",,163.3,187.3,1.3,122.8,44.5,0,79.3,,0,0.3,0.3,266.1,189.7,0,76.7,,0,0,0,227.7,12.9,0,214.8,,0,0,0,139.7,139.6,0,0,,0,0.1,0.1,263,226,0,20,,0,17.2,1.2,529,392.8,0,136.3,,0,1
20,폐합성수지,49.3,"11,485","7,343.9",158.4,"3,091.2",,840.4,100.4,44.5,"20,866.3","8,084.9",108.1,"7,126.3",,"5,254.7",336.8,219.6,"17,173.2","8,298.4",0,"7,616.9",,788.7,688.8,83.1,"14,725","8,032.8",9,"5,981.7",,616.1,168.5,131.3,"16,333.2","9,401.6",7.1,"6,873",,19.1,163.7,131.9,"17,690.7","9,477.3",0,"8,139.6",,0,205.7,120.9,"20,241.6","12,577.1",13,"6,844.7",,722.5,205.2,52.2,"19,424.4","11,835.2",0,"7,445.2",,40.4,155.7,104.4,"20,617.7","14,094.1",0,"6,279.9",,69.1,279
21,폐형광등 파쇄 잔재물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201.9,0,188.1,0,,0,13.8,7.2,"2,503.1",0,"2,506.2",0,,0,4.2,,,,,,,,
22,폐흡착제및폐흡수제,148.1,"17,788.5","1,554.2","6,565.2","9,625",,2.5,189.7,184.6,"11,939.3","1,273.7","4,191.1","6,622.3",,8,28.8,34.9,"6,810.1","1,263.6","5,262.8",299.8,,6,12.8,13.1,"7,264.3","1,360.4","4,312.9",565.9,,"1,023",15.2,47.6,"4,590.5","1,597.7","2,933.5",72.6,,2.4,31.9,31.7,"4,700.7","1,507.6","3,072.8",85.2,,8.3,58.5,26.9,"5,067","1,966.2","2,944.7",116.4,,11.3,55.2,49.1,"5,763.3","2,063.1","3,616.7",54,,5.3,73.3,30.9,"5,900.8","2,045.4","2,266.4",532,,"1,033.8",54
23,할로겐족유기용제,238.4,"19,459.3","5,830.2",0,"13,687",,0,180.5,175.1,"17,003.9","5,687.3",0,"11,327.7",,18.1,145.9,138.2,"19,004.2","4,891.2",0,"13,948.8",,5,297.4,161.1,"18,301.4","5,434.3",0,"12,809.6",,0,218.6,232.5,"18,545.7","4,898",0,"13,707.5",,0,172.7,168.7,"20,634.6","5,711.9",0,"14,884.2",,1.2,206,187.2,"18,701.7","7,101",0,"11,274.9",,0.6,512.4,168.8,"21,208.7","8,015.1",0,"13,151.7",,0.2,210.4,91.3,"19,050.7","7,007.7",0,"12,037.8",,0,96.5
24,PCB함유폐기물,"3,327.4","14,673.4","2,799.6",0,0,,"14,798.1",403.1,126.9,"12,629","2,358.2",0,0,,"10,331.6",66.1,154.9,"7,465.1",371.1,0,0,,"7,145.5",103.4,39.2,"4,492.3",190.7,0,0,,"4,304",36.8,38.1,"9,410.2",263.1,0,0,,"9,130.6",54.6,15.6,"14,918.3",355.3,0,0,,"14,549.3",29.3,0,"11,491.7",355.1,0,0,,"11,120.3",16.3,19.6,"7,481.2",244.2,0,0,,"7,253.1",3.5,4.9,"6,771.8",245.3,0,0,,"6,526.5",4.9
