No,분류,분류,분류,분류,2020년,2020년,2020년,2021년,2021년,2021년
No,분류,분류,분류,분류,발생량,발생량,발생량,발생량,발생량,발생량
No,분류,분류,분류,분류,톤/년,톤/년,%,톤/년,톤/년,%
No,분류,분류,분류,분류,원자료,전기대비증감,전기대비증감률,원자료,전기대비증감,전기대비증감률
536,충남,재활용 가능자원 분리배출,폐섬유류,폐섬유류,82,0,0,29.6,-52.4,-63.9
537,충남,재활용 가능자원 분리배출,조명폐기물,조명폐기물,263.1,0,0,197.7,-65.4,-24.9
538,충남,재활용 가능자원 분리배출,폐전지류,폐전지류,191.4,0,0,147.5,-43.9,-22.9
539,충남,재활용 가능자원 분리배출,영농폐기물,농약용기류,340.6,0,0,834.8,494.2,145.1
540,충남,재활용 가능자원 분리배출,영농폐기물,폐비닐,"17,229.5",0,0,"18,246.7","1,017.2",5.9
541,충남,재활용 가능자원 분리배출,폐식용유,폐식용유,35,0,0,0,-35,-100
542,충남,재활용 가능자원 분리배출,폐전기전자제품,폐전기전자제품,"2,274.6",0,0,"3,558.3","1,283.7",56.4
543,충남,재활용 가능자원 분리배출,폐가구류,폐가구류,"1,278.7",0,0,300,-978.7,-76.5
544,충남,재활용 가능자원 분리배출,기타,기타,756.2,0,0,601.1,-155.1,-20.5
545,충남,재활용 가능자원 분리배출,재활용 잔재물,재활용 잔재물,"23,922.6",0,0,"24,111.4",188.8,0.8
546,충남,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,"198,891.3",0,0,"182,591.8","-16,299.5",-8.2
547,전북,합계,합계,합계,"612,062.9",0,0,"629,715.5","17,652.6",2.9
548,전북,종량제방식 등 혼합배출,소계,소계,"284,949.4",0,0,"307,251.2","22,301.8",7.8
549,전북,종량제방식 등 혼합배출,가연성,소계,"257,304.7",0,0,"257,430.7",126,0
550,전북,종량제방식 등 혼합배출,가연성,폐지류,"77,264.1",0,0,"72,949","-4,315.1",-5.6
551,전북,종량제방식 등 혼합배출,가연성,폐합성수지류,"67,093.4",0,0,"70,234.7","3,141.3",4.7
552,전북,종량제방식 등 혼합배출,가연성,폐고무류,"2,927",0,0,"2,800.5",-126.5,-4.3
553,전북,종량제방식 등 혼합배출,가연성,폐섬유류,"13,098",0,0,"18,195.2","5,097.2",38.9
554,전북,종량제방식 등 혼합배출,가연성,음식물류 폐기물,"15,233.5",0,0,"11,890","-3,343.5",-21.9
555,전북,종량제방식 등 혼합배출,가연성,폐목재류,"6,835.1",0,0,"23,862.6","17,027.5",249.1
556,전북,종량제방식 등 혼합배출,가연성,기타,"74,853.6",0,0,"57,498.7","-17,354.9",-23.2
557,전북,종량제방식 등 혼합배출,불연성,소계,"27,485.4",0,0,"49,677.6","22,192.2",80.7
558,전북,종량제방식 등 혼합배출,불연성,폐금속류,"7,409.8",0,0,"10,964.8","3,555",48
559,전북,종량제방식 등 혼합배출,불연성,폐유리류,"10,972.9",0,0,"15,426.1","4,453.2",40.6
560,전북,종량제방식 등 혼합배출,불연성,폐토사류,"1,314.8",0,0,"1,564.1",249.3,19
561,전북,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,739.8,0,0,705.8,-34,-4.6
562,전북,종량제방식 등 혼합배출,불연성,연탄재,"1,985.3",0,0,"1,376.4",-608.9,-30.7
563,전북,종량제방식 등 혼합배출,불연성,기타,"5,062.8",0,0,"19,640.4","14,577.6",287.9
564,전북,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),92.9,0,0,94.5,1.6,1.7
565,전북,종량제방식 등 혼합배출,기타(배출불명등),기타(배출불명등),66.4,0,0,48.4,-18,-27.1
566,전북,재활용 가능자원 분리배출,소계,소계,"105,407.6",0,0,"110,798.8","5,391.2",5.1
567,전북,재활용 가능자원 분리배출,폐지류,종이팩,"2,182.2",0,0,"3,552.9","1,370.7",62.8
568,전북,재활용 가능자원 분리배출,폐지류,기타,"6,956.4",0,0,"20,911.4","13,955",200.6
569,전북,재활용 가능자원 분리배출,고철류,고철류,"15,666.1",0,0,"1,703.5","-13,962.6",-89.1
570,전북,재활용 가능자원 분리배출,금속캔,금속캔,"1,383.4",0,0,"1,847.6",464.2,33.6
571,전북,재활용 가능자원 분리배출,폐합성수지류,비닐류,"3,109.8",0,0,"3,943.5",833.7,26.8
572,전북,재활용 가능자원 분리배출,폐합성수지류,발포수지류,"1,970.7",0,0,"1,707.1",-263.6,-13.4
