No,항목,항목,단위,통계자료,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
1,업체현황(가동업체수),업체현황(가동업체수),개소,원자료,4062.00 ,3916.00 ,4346.00 ,5180.00 ,5372.00 ,5432.00 ,6085.00 ,5472.00 ,5972.00 
2,재활용실적,재활용폐기물량,만톤,원자료,3529.00 ,3357.00 ,3694.00 ,4030.00 ,4549.00 ,4193.00 ,5577.00 ,6238.00 ,6331.00 
3,재활용실적,재활용제품판매량,만톤,원자료,3325.00 ,3459.00 ,3178.00 ,3019.00 ,3492.00 ,2851.00 ,2587.00 ,3211.00 ,5049.00 
4,재활용실적,재활용제품판매액,조원,원자료,4.00 ,4.00 ,5.00 ,5.00 ,6.00 ,5.00 ,5.00 ,7.00 ,9.00 
