No,항목,항목,단위,통계자료,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
1,발생 및 처리(총계),발생 및 처리(총계),톤/일,원자료,"365,154","373,312","382,009","380,709","388,486","404,812","415,345","414,626","430,713"
2,발생,생활계폐기물,톤/일,원자료,"49,159","48,934","48,990","48,728","49,915","51,247","53,772","53,490","56,035"
3,발생,1인당 발생량,kg/일,원자료,0.96,0.95,0.95,0.94,0.95,0.97,1.01,1.01,1.06
4,발생,사업장배출시설계폐기물,톤/일,원자료,"137,875","137,961","146,390","148,443","153,189","155,305","162,129","164,874","167,727"
5,발생,건설폐기물,톤/일,원자료,"178,120","186,417","186,629","183,538","185,382","198,260","199,444","196,262","206,951"
6,처리,매립,톤/일,원자료,"34,306","34,026","33,698","35,604","35,375","35,133","35,032","32,269","31,533"
7,처리,소각,톤/일,원자료,"19,511","20,898","22,848","22,918","22,420","23,904","24,135","24,038","24,132"
8,처리,재활용,톤/일,원자료,"304,381","312,521","322,419","319,579","329,268","345,114","356,086","358,271","375,006"
9,처리,기타,톤/일,원자료,"6,956","5,867","3,044","2,608","1,423",661,92,48,42
